Cluster	Base	Stripe	Stripes_number	Text	Size
GBJ002_C020a	#FF00FF	NA	NA	NA	1
GBJ002_C083	#FF9900	NA	NA	NA	3
GBJ002_C039	#BFBFBF	NA	NA	NA	1.25
GBJ002_C024b	#7F7F7F	NA	NA	white	1
GBJ002_C024a	#7F7F7F	NA	NA	white	1
GBJ002_C133	#006633	NA	NA	white	3
GBJ002_C107	#FF008A	NA	NA	NA	3
GBJ002_C029b	#7F7F7F	NA	NA	white	1
GBJ002_C281	#FF00FF	NA	NA	NA	3
GBJ002_C072	#5C5A1B	NA	NA	NA	2.5
GBJ002_C029c	#FF0000	NA	NA	NA	1
GBJ002_C020b	#7F7F7F	NA	NA	white	1
GBJ002_C030	#0099FF	NA	NA	NA	1
GBJ002_C029a	#7F7F7F	NA	NA	white	1
GBJ002_C235	#FFFF00	#99334D	7	bold	3
GBJ002_C046	#FFFF00	NA	NA	NA	1.25
GBJ002_C043	#FF9999	NA	NA	NA	1.25
GBJ002_C025	#7F7F7F	NA	NA	white	1
GBJ002_C036	#727DCC	NA	NA	NA	1.25
GBJ002_C057	#7F7F7F	NA	NA	white	2
GBJ002_C035	#BFBFBF	NA	NA	NA	1
GBJ002_C027	#7F7F7F	NA	NA	white	1
GBJ002_C384	#9900FF	NA	NA	white	3
GBJ002_C034	#FF00FF	NA	NA	bold	1
GIL01_C063	#BFBFBF	NA	NA	NA	2
GIL01_C056	#7F7F7F	NA	NA	white	2
GIL01_C047	#FF00FF	NA	NA	NA	1.25
GIL01_C128	#7F7F7F	NA	NA	white	3
GIL01_C036b	#7F7F7F	NA	NA	white	1.25
GIL01_C051	#7F7F7F	NA	NA	white	2
GIL01_C020b	#7F7F7F	NA	NA	white	1
GIL01_C020a	#7F7F7F	NA	NA	white	1
GIL01_C020d	#9EC928	#0000FF	3	NA	1
GIL01_C062	#BFBFBF	NA	NA	NA	2
GIL01_C032a	#FF00FF	NA	NA	NA	1
GIL01_C020c	#9EC928	NA	NA	NA	1
GIL01_C032b	#006633	NA	NA	white	1
GIL01_C045	#7F7F7F	NA	NA	white	1.25
GIL01_C027	#FF9999	NA	NA	NA	1
GIL01_C113	#7F7F7F	NA	NA	white	3
GIL01_C064a	#BFBFBF	NA	NA	NA	2
GIL01_C028a	#7F7F7F	NA	NA	white	1
GIL01_C032c	#BFBFBF	NA	NA	NA	1
GIL01_C046	#7F7F7F	NA	NA	white	1.25
GIL01_C028b	#7F7F7F	NA	NA	white	1
GIL01_C064b	#FF0000	NA	NA	NA	2
GIL01_C073	#7F7F7F	NA	NA	white	2.5
GIL01_C028c	#7F7F7F	NA	NA	white	1
GIL01_C054	#FF0000	NA	NA	NA	2
GIL01_C036c	#FFFF00	NA	NA	NA	1.25
GIL01_C092	#9900FF	NA	NA	white	3
GIL01_C026b	#FF9999	NA	3	NA	1
GIL01_C029a	#336699	NA	NA	white	1
GIL01_C020e	#5C5A1B	NA	NA	NA	1
GIL01_C023	#00FFFF	NA	NA	NA	1
GIL01_C037	#0099FF	NA	NA	NA	1.25
GIL01_C026a	#7F7F7F	NA	NA	white	1
GIL01_C290	#9900FF	NA	NA	bold_white	3
GIL01_C029b	#99334D	NA	NA	white	1
GIL01_C055	#FF00FF	NA	NA	bold	2
GIL01_C036a	#7F7F7F	NA	NA	white	1.25
GIL01_C040	#7F7F7F	NA	NA	white	1.25
GIL16_C048	#7F7F7F	NA	NA	white	1.25
GIL16_C062a	#FF00FF	NA	NA	NA	2
GIL16_C110	#7F7F7F	NA	NA	white	3
GIL16_C071	#D6AADF	#99FF00	7	NA	2.5
GIL16_C063	#7F7F7F	NA	NA	white	2
GIL16_C072	#7F7F7F	NA	NA	white	2.5
GIL16_C082	#7F7F7F	NA	NA	white	3
GIL16_C022a	#336699	NA	NA	white	1
GIL16_C140	#7F7F7F	NA	NA	white	3
GIL16_C113	#7F7F7F	NA	NA	white	3
GIL16_C024	#7F7F7F	NA	NA	white	1
GIL16_C053	#7F7F7F	NA	NA	white	2
GIL16_C033	#7F7F7F	NA	NA	white	1
GIL16_C020	#FF9999	NA	NA	NA	1
GIL16_C036b	#805642	#9900FF	5	white	1.25
GIL16_C036a	#7F7F7F	NA	NA	white	1.25
GIL16_C022d	#BFBFBF	NA	NA	NA	1
GIL16_C022b	#7F7F7F	NA	NA	white	1
GIL16_C035	#FF00FF	NA	NA	NA	1
GIL16_C028a	#FF00FF	NA	NA	NA	1
GIL16_C022c	#7F7F7F	NA	NA	white	1
GIL16_C021	#7F7F7F	NA	NA	white	1
GIL16_C023b	#BFBFBF	NA	NA	NA	1
GIL16_C023d	#7F7F7F	NA	NA	white	1
GIL16_C074	#7F7F7F	NA	NA	white	2.5
GIL16_C061	#9EC928	NA	NA	NA	2
GIL16_C289	#99334D	NA	NA	bold_white	3
GIL16_C025b	#0099FF	NA	NA	NA	1
GIL16_C026	#7F7F7F	NA	NA	white	1
GIL16_C028b	#805642	NA	NA	white	1
GIL16_C023a	#805642	NA	NA	white	1
GIL16_C034	#5C5A1B	#805642	5	NA	1
GIL16_C031	#7F7F7F	NA	NA	bold_white	1
GIL16_C019	#FF00FF	NA	NA	bold	1
GIL16_C027a	#805642	#9EC928	3	white	1
GIL16_C050	#FFFF00	NA	NA	NA	2
GIL16_C062b	#FF0000	NA	NA	NA	2
GIL16_C100	#9900FF	NA	NA	white	3
GIL16_C025a	#9900FF	NA	NA	white	1
GIL16_C023c	#9900FF	NA	NA	white	1
GIL16_C027b	#FF9999	NA	NA	NA	1
GIL16_C040	#FF9999	NA	NA	NA	1.25
GIL16_C037	#805642	#FF0000	5	white	1.25
GIL16_C028c	#BFBFBF	NA	NA	NA	1
Unclustered_GBJ002	#000000	NA	NA	NA	3
Unclustered_GIL01	#000000	NA	NA	NA	3
Unclustered_GIL16	#000000	NA	NA	NA	3
Unclustered_GBJ002_copy	#000000	NA	NA	NA	3
