Contrast	Time	Direction	KEGG	DE	No_DE	Total	Ratio	p
GIL01 vs GBJ002	30	UP	Metabolism of cofactors and vitamins	1	18	19	0.052631579	0.0372
GIL01 vs GBJ002	30	UP	Metabolism of cofactors and vitamins	1	30	31	0.032258065	0.0372
GIL16 vs GBJ002	30	UP	Translation	30	25	55	0.545454545	1.90E-31
GIL16 vs GBJ002	30	UP	Metabolism of cofactors and vitamins	5	9	14	0.357142857	0.001358414
GIL16 vs GBJ002	30	DOWN	Amino acid metabolism	3	20	23	0.130434783	0.019369161
GIL16 vs GIL01	30	UP	Membrane transport	3	104	107	0.028037383	0.006875768
GIL16 vs GIL01	30	DOWN	Metabolism of cofactors and vitamins	1	18	19	0.052631579	0.0372
GIL16 vs GIL01	30	DOWN	Metabolism of cofactors and vitamins	1	30	31	0.032258065	0.0372
GIL01 vs GBJ002	60	UP	Translation	18	37	55	0.327272727	1.54E-08
GIL01 vs GBJ002	60	UP	Nucleotide metabolism	11	32	43	0.255813953	0.000487359
GIL01 vs GBJ002	60	UP	Amino acid metabolism	6	10	16	0.375	0.00290434
GIL16 vs GBJ002	60	UP	Translation	30	25	55	0.545454545	5.56E-13
GIL16 vs GBJ002	60-mock	UP	Translation	24	31	55	0.436363636	3.01E-14
GIL16 vs GBJ002	60-mock	UP	Carbohydrate metabolism	11	31	42	0.261904762	0.001064263
GIL16 vs GBJ002	60-mock	UP	Carbohydrate metabolism	8	16	24	0.333333333	0.001387109
GIL16 vs GBJ002	60-mock	UP	Metabolism of cofactors and vitamins	6	12	18	0.333333333	0.009148779
GIL16 vs GBJ002	60-mock	UP	Global and overview maps	16	94	110	0.145454545	0.013518519
GIL16 vs GBJ002	60-mock	DOWN	Amino acid metabolism	6	17	23	0.260869565	0.010686328
GIL16 vs GBJ002	60-mock	DOWN	Replication and repair	5	19	24	0.208333333	0.03898413
GIL16 vs GBJ002	60-mock	DOWN	Replication and repair	5	20	25	0.2	0.03898413
GIL16 vs GBJ002	60-mock	DOWN	Replication and repair	5	21	26	0.192307692	0.03898413
GIL16 vs GBJ002	60-mock	DOWN	Global and overview maps	7	45	52	0.134615385	0.042443092
GIL16 vs GBJ002	60-mock	DOWN	Cell motility	5	24	29	0.172413793	0.042489568
GIL16 vs GBJ002	60-mock	DOWN	Nucleotide metabolism	6	37	43	0.139534884	0.047141924
GIL16 vs GIL01	60-mock	DOWN	Cellular community - prokaryotes	4	71	75	0.053333333	0.048653446
