Contrast	Direction	KEGG	DE	No_DE	Total	Ratio	p
GIL01 vs GBJ002	UP	Membrane transport	4	14	18	0.222222222	0.000249873
GIL01 vs GBJ002	UP	Carbohydrate metabolism	4	27	31	0.129032258	0.001189649
GIL01 vs GBJ002	UP	Nucleotide metabolism	3	40	43	0.069767442	0.035193854
GIL01 vs GBJ002	UP	Global and overview maps	3	39	42	0.071428571	0.044719225
GIL01 vs GBJ002	DOWN	Replication and repair	2	21	23	0.086956522	0.028504355
GIL01 vs GBJ002	DOWN	Nucleotide metabolism	2	41	43	0.046511628	0.046735566
GIL01 vs GBJ002	DOWN	Global and overview maps	2	50	52	0.038461538	0.046735566
GIL16 vs GBJ002	UP	Translation	37	17	54	0.685185185	4.35E-13
GIL16 vs GBJ002	UP	Carbohydrate metabolism	15	10	25	0.6	0.000560869
GIL16 vs GBJ002	UP	Metabolism of cofactors and vitamins	11	7	18	0.611111111	0.003892501
GIL16 vs GBJ002	UP	Global and overview maps	19	23	42	0.452380952	0.003892501
GIL16 vs GBJ002	UP	Translation	16	19	35	0.457142857	0.008882616
GIL16 vs GBJ002	UP	Energy metabolism	13	15	28	0.464285714	0.021031743
GIL16 vs GBJ002	UP	Global and overview maps	35	76	111	0.315315315	0.028897698
GIL16 vs GBJ002	DOWN	Replication and repair	6	17	23	0.260869565	0.01584375
GIL16 vs GIL01	UP	Translation	28	26	54	0.518518519	6.61E-10
GIL16 vs GIL01	DOWN	Replication and repair	6	17	23	0.260869565	0.006264182
GIL16 vs GIL01	DOWN	Carbohydrate metabolism	6	25	31	0.193548387	0.012934383
GIL16 vs GIL01	DOWN	Nucleotide metabolism	7	36	43	0.162790698	0.012934383
GIL16 vs GIL01	DOWN	Replication and repair	5	19	24	0.208333333	0.017866522
GIL16 vs GIL01	DOWN	Global and overview maps	7	45	52	0.134615385	0.024633902
