Sample	Trimming	Human	Phi-X174	C.acnes	P.yeei	K.carniphila	rRNA	Filtered	Total
GBJ002_I	759795	173	20330	151	316	52	53051	11619410	12453278
GBJ002_II	913565	116	26200	61	365	66	26680	18078135	19045188
GBJ002_III	832185	163	23555	564	1668	545	124828	16274528	17258036
GBJ002_t0_I	1174798	4984	0	3665	442	442	76028	28142463	29402822
GBJ002_t0_II	1313104	4219	0	2356	328	455	59994	31832124	33212580
GBJ002_t0_III	429449	5382	0	1157	85	125	22417	12349253	12807868
GBJ002_t10_I	1655796	2447	0	541	83	89	39093	38965733	40663782
GBJ002_t10_II	1168750	3430	0	1014	92	84	23101	26422801	27619272
GBJ002_t10_III	498539	5643	0	2719	180	139	34715	12375585	12917520
GBJ002_t30_I	1351877	2527	0	820	45	104	23834	31940491	33319698
GBJ002_t30_II	1047563	2362	0	1378	104	125	24755	28920563	29996850
GBJ002_t30_III	1075582	3709	0	3992	556	688	88056	23382893	24555476
GBJ002_t60_I	1576021	2032	0	2371	238	256	46196	45199618	46826732
GBJ002_t60_II	801455	186	0	339	39	46	8246	26619679	27429990
GBJ002_t60_III	1338429	584	1	122	8	2	5445	32568359	33912950
GBJ002_t60-mock_I	1311612	1992	0	757	96	127	29291	27732689	29076564
GBJ002_t60-mock_II	1149116	456	0	162	5	24	9825	27472404	28631992
GBJ002_t60-mock_III	1400684	567	0	159	14	16	17510	38865780	40284730
GIL01_I	1412196	290	35128	546	1227	372	110250	22310485	23870494
GIL01_II	691521	98	29138	232	584	115	27390	13061140	13810218
GIL01_III	859113	210	43174	448	1004	268	60556	16464869	17429642
GIL01_t0_I	905619	3958	0	1094	82	103	27129	21666257	22604242
GIL01_t0_II	1153216	12608	1	22448	3435	14793	253555	18252730	19712786
GIL01_t0_III	688622	12247	0	5864	782	2519	133017	24860459	25703510
GIL01_t10_I	1047145	1872	0	1195	61	215	31224	26867738	27949450
GIL01_t10_II	461667	9699	0	5555	268	360	64992	13563793	14106334
GIL01_t10_III	276205	8154	0	3719	12659	714	66797	9672364	10040612
GIL01_t30_I	793239	11846	1	412253	1529	1240229	340832	24217435	27017364
GIL01_t30_II	1300275	13854	0	9203	596	1456	50158	42617884	43993426
GIL01_t30_III	585993	11661	0	5978	251	267	36108	18482350	19122608
GIL01_t60_I	858047	1818	0	1103	120	73	10587	19290750	20162498
GIL01_t60_II	1201329	11529	2	5621	550	495	46892	40131600	41398018
GIL01_t60_III	1554267	1382	2	400	9	45	12089	33926856	35495050
GIL01_t60-mock_I	2068452	6453	0	1817	156	236	47471	30129493	32254078
GIL01_t60-mock_II	805083	2493	0	2072	126	266	28621	21083473	21922134
GIL01_t60-mock_III	970863	2462	0	2139	174	322	42580	25481484	26500024
GIL16_I	939756	5483	48181	531	1285	349	188127	18264634	19448346
GIL16_II	1210181	334	28579	1053	1743	538	108825	22534835	23886088
GIL16_III	1055978	228	18289	944	2409	519	129303	23792280	24999950
GIL16_t0_I	1361325	4032	0	1383	98	186	62910	31055244	32485178
GIL16_t0_II	554703	9627	0	15117	1067	1412	231878	13487192	14300996
GIL16_t0_III	1312553	3796	0	988	174	121	38704	33221508	34577844
GIL16_t10_I	1480407	2610	0	180917	25581	24222	2797140	30712411	35223288
GIL16_t10_II	1066717	6141	0	6705	577	915	129525	26978724	28189304
GIL16_t10_III	609973	7872	0	1603	114	149	25536	17787887	18433134
GIL16_t30_I	1264631	3315	0	1728	180	308	41953	29314621	30626736
GIL16_t30_II	1215769	4959	0	1340	169	138	30302	28169389	29422066
GIL16_t30_III	1136967	4020	2	997	84	86	25129	27378823	28546108
GIL16_t60_I	1605818	2078	0	1563	171	232	36943	37820497	39467302
GIL16_t60_II	1238677	5042	0	1160	178	154	23908	29608733	30877852
GIL16_t60_III	1265209	5770	1	1319	140	149	15718	30723792	32012098
GIL16_t60-mock_I	1404452	2225	0	1460	181	210	37936	36936788	38383252
GIL16_t60-mock_II	597213	2340	0	718	54	30	17761	17001090	17619206
GIL16_t60-mock_III	1074680	6724	0	1218	86	107	31511	27627852	28742178
